regions,idy,madicke,macky,sonko,issa
Dakar,115612 ,5646,212355,101003,18662
Diourbel,22026,1682,40501,6300,884
Fatick,5172,673,8088,9349,4089
Kaffrine,6513,731,38874,5294,3406
Kaolack,18649,1758,99376,22677,4343
Kedougou,2494,377,16153,3269,324
Kolda,6245,1042,36927,13839,789
Louga,19788,2344,73514,9612,15617
Matam,2239,0,92454,3698,582
Saint-Louis,17404,3160,62788,18632,7471
Sedhiou,3808,680,23414,14833,407
Tambacounda,5401,1074,46096,11258,1184
Thies,120054,2312,100422,19737,12102
Ziguinchor,2419,510,32846,41291,556
